target,filename,path,cls,asan_kind,patched_still_faults,provenance,size
mdbtools,28773,corpus/poc/28773,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,8239
mdbtools,28779,corpus/poc/28779,READ,heap-buffer-overflow,0,arvo-oss-fuzz,56514
mdbtools,28780,corpus/poc/28780,WRITE,stack-buffer-overflow,0,arvo-oss-fuzz,27123
mdbtools,28787,corpus/poc/28787,READ,heap-buffer-overflow,0,arvo-oss-fuzz,25959
mdbtools,28832,corpus/poc/28832,DoS,SEGV,0,arvo-oss-fuzz,4122
mdbtools,29328,corpus/poc/29328,DoS,SEGV,0,arvo-oss-fuzz,4568
wolfmqtt,30181,corpus/poc/30181,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,4482
wolfmqtt,30592,corpus/poc/30592,READ,heap-use-after-free,0,arvo-oss-fuzz,8726
mdbtools,30752,corpus/poc/30752,DoS,SEGV,0,arvo-oss-fuzz,4122
mruby,30886,corpus/poc/30886,READ,heap-buffer-overflow,0,arvo-oss-fuzz,66115
uWebSockets,30949,corpus/poc/30949,DoS,SEGV-null,0,arvo-oss-fuzz,5
uWebSockets,30951,corpus/poc/30951,DoS,SEGV,0,arvo-oss-fuzz,5
uWebSockets,31047,corpus/poc/31047,READ,heap-use-after-free,0,arvo-oss-fuzz,6
uWebSockets,31126,corpus/poc/31126,DoS,SEGV,0,arvo-oss-fuzz,3841
uWebSockets,31209,corpus/poc/31209,WRITE,heap-use-after-free,0,arvo-oss-fuzz,130
graphicsmagick,32263,corpus/poc/32263,READ,heap-use-after-free,0,arvo-oss-fuzz,36
libvips,32638,corpus/poc/32638,READ,heap-buffer-overflow,0,arvo-oss-fuzz,71
skcms,32767,corpus/poc/32767,DoS,SEGV,0,arvo-oss-fuzz,144
skcms,32837,corpus/poc/32837,WRITE,stack-buffer-overflow,0,arvo-oss-fuzz,144
libvips,32855,corpus/poc/32855,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,25
wolfmqtt,34207,corpus/poc/34207,DoS,SEGV,0,arvo-oss-fuzz,7016
libvips,34284,corpus/poc/34284,READ,heap-buffer-overflow,0,arvo-oss-fuzz,69
mruby,34652,corpus/poc/34652,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,12
libvips,34813,corpus/poc/34813,WRITE,heap-use-after-free,0,arvo-oss-fuzz,257
njs,35140,corpus/poc/35140,DoS,SEGV,0,arvo-oss-fuzz,239
mruby,35712,corpus/poc/35712,READ,heap-buffer-overflow,0,arvo-oss-fuzz,56823
mruby,35727,corpus/poc/35727,READ,heap-buffer-overflow,0,arvo-oss-fuzz,26226
libvips,36434,corpus/poc/36434,READ,heap-buffer-overflow,0,arvo-oss-fuzz,2661
libvips,36456,corpus/poc/36456,DoS,SEGV-null,0,arvo-oss-fuzz,776
mruby,36464,corpus/poc/36464,READ,heap-buffer-overflow,0,arvo-oss-fuzz,9
libvips,36543,corpus/poc/36543,READ,heap-buffer-overflow,0,arvo-oss-fuzz,2036
mruby,36930,corpus/poc/36930,DoS,SEGV,0,arvo-oss-fuzz,2290
njs,37691,corpus/poc/37691,DoS,SEGV,0,arvo-oss-fuzz,272
libvips,37812,corpus/poc/37812,DoS,SEGV,0,arvo-oss-fuzz,64
libvips,37842,corpus/poc/37842,DoS,SEGV-null,0,arvo-oss-fuzz,64
wolfmqtt,37878,corpus/poc/37878,DoS,SEGV,0,arvo-oss-fuzz,28966
wolfmqtt,38018,corpus/poc/38018,READ,heap-buffer-overflow,0,arvo-oss-fuzz,315
wolfmqtt,38121,corpus/poc/38121,DoS,SEGV,0,arvo-oss-fuzz,3026
wolfmqtt,38146,corpus/poc/38146,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,45
wolfmqtt,38232,corpus/poc/38232,DoS,SEGV,0,arvo-oss-fuzz,806
wolfmqtt,38237,corpus/poc/38237,WRITE,stack-buffer-overflow,0,arvo-oss-fuzz,145
mruby,38251,corpus/poc/38251,READ,heap-buffer-overflow,0,arvo-oss-fuzz,210699
dav1d,38369,corpus/poc/38369,READ,heap-buffer-overflow,0,arvo-oss-fuzz,90
dav1d,38439,corpus/poc/38439,DoS,SEGV,0,arvo-oss-fuzz,188
mruby,38843,corpus/poc/38843,DoS,SEGV,0,arvo-oss-fuzz,456
graphicsmagick,38856,corpus/poc/38856,DoS,SEGV,0,arvo-oss-fuzz,825
wolfmqtt,38900,corpus/poc/38900,DoS,SEGV,0,arvo-oss-fuzz,5774
mruby,38989,corpus/poc/38989,READ,heap-buffer-overflow,0,arvo-oss-fuzz,15
wolfmqtt,39017,corpus/poc/39017,READ,heap-buffer-overflow,0,arvo-oss-fuzz,189
wolfmqtt,39024,corpus/poc/39024,DoS,SEGV,0,arvo-oss-fuzz,6725
wolfmqtt,39028,corpus/poc/39028,DoS,SEGV,0,arvo-oss-fuzz,4452
wolfmqtt,39036,corpus/poc/39036,DoS,SEGV,0,arvo-oss-fuzz,975
wolfmqtt,39056,corpus/poc/39056,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,11964
wolfmqtt,39062,corpus/poc/39062,DoS,SEGV,0,arvo-oss-fuzz,2530
wolfmqtt,39070,corpus/poc/39070,DoS,SEGV,0,arvo-oss-fuzz,206
wolfmqtt,39083,corpus/poc/39083,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,45
wolfmqtt,39094,corpus/poc/39094,WRITE,stack-buffer-overflow,0,arvo-oss-fuzz,68
wolfmqtt,39103,corpus/poc/39103,READ,stack-buffer-overflow,0,arvo-oss-fuzz,707
wolfmqtt,39224,corpus/poc/39224,DoS,SEGV,0,arvo-oss-fuzz,483
uWebSockets,39335,corpus/poc/39335,READ,container-overflow,0,arvo-oss-fuzz,273
wolfmqtt,39477,corpus/poc/39477,READ,heap-buffer-overflow,0,arvo-oss-fuzz,724
wolfmqtt,39631,corpus/poc/39631,DoS,SEGV,0,arvo-oss-fuzz,246
wolfmqtt,39750,corpus/poc/39750,READ,heap-buffer-overflow,0,arvo-oss-fuzz,322
mruby,39937,corpus/poc/39937,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,23805
mruby,39940,corpus/poc/39940,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,11663
wolfmqtt,40069,corpus/poc/40069,READ,heap-buffer-overflow,0,arvo-oss-fuzz,256
dav1d,40661,corpus/poc/40661,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,1001
graphicsmagick,40680,corpus/poc/40680,READ,heap-buffer-overflow,0,arvo-oss-fuzz,58
libvips,40715,corpus/poc/40715,READ,heap-buffer-overflow,0,arvo-oss-fuzz,226
wolfmqtt,40904,corpus/poc/40904,READ,heap-use-after-free,0,arvo-oss-fuzz,4850
libvips,41225,corpus/poc/41225,READ,heap-buffer-overflow,0,arvo-oss-fuzz,253
libvips,41283,corpus/poc/41283,READ,heap-buffer-overflow,0,arvo-oss-fuzz,438
wolfmqtt,41439,corpus/poc/41439,READ,heap-buffer-overflow,0,arvo-oss-fuzz,53
wolfmqtt,43370,corpus/poc/43370,DoS,SEGV,0,arvo-oss-fuzz,68
graphicsmagick,43511,corpus/poc/43511,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,501758
wolfmqtt,44683,corpus/poc/44683,DoS,SEGV,0,arvo-oss-fuzz,91
libvips,45353,corpus/poc/45353,READ,heap-buffer-overflow,0,arvo-oss-fuzz,79
libvips,46334,corpus/poc/46334,READ,heap-use-after-free,0,arvo-oss-fuzz,913956
libvips,46338,corpus/poc/46338,WRITE,heap-use-after-free,0,arvo-oss-fuzz,161
libvips,46341,corpus/poc/46341,DoS,SEGV-null,0,arvo-oss-fuzz,139
libvips,46343,corpus/poc/46343,WRITE,heap-use-after-free,0,arvo-oss-fuzz,1061
libvips,46349,corpus/poc/46349,DoS,SEGV,0,arvo-oss-fuzz,201
libvips,46354,corpus/poc/46354,READ,heap-use-after-free,0,arvo-oss-fuzz,495
libvips,46356,corpus/poc/46356,DoS,SEGV-null,0,arvo-oss-fuzz,477
libvips,46395,corpus/poc/46395,DoS,SEGV,0,arvo-oss-fuzz,102
libvips,46396,corpus/poc/46396,DoS,SEGV,0,arvo-oss-fuzz,111
libvips,46421,corpus/poc/46421,WRITE,heap-use-after-free,0,arvo-oss-fuzz,4
graphicsmagick,46843,corpus/poc/46843,READ,heap-use-after-free,0,arvo-oss-fuzz,24
libvips,48021,corpus/poc/48021,READ,heap-buffer-overflow,0,arvo-oss-fuzz,2602
libvips,48036,corpus/poc/48036,DoS,SEGV,0,arvo-oss-fuzz,57
mruby,48866,corpus/poc/48866,DoS,SEGV,0,arvo-oss-fuzz,164
mruby,48877,corpus/poc/48877,DoS,SEGV,0,arvo-oss-fuzz,1491
mruby,48904,corpus/poc/48904,DoS,SEGV,0,arvo-oss-fuzz,658
mruby,48915,corpus/poc/48915,DoS,SEGV,0,arvo-oss-fuzz,26
mruby,49045,corpus/poc/49045,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,27
mruby,49291,corpus/poc/49291,READ,heap-buffer-overflow,0,arvo-oss-fuzz,32
mruby,49425,corpus/poc/49425,READ,heap-buffer-overflow,0,arvo-oss-fuzz,22
mruby,49429,corpus/poc/49429,DoS,SEGV,0,arvo-oss-fuzz,11830
mruby,49453,corpus/poc/49453,DoS,SEGV,0,arvo-oss-fuzz,1023
mruby,49470,corpus/poc/49470,DoS,SEGV,0,arvo-oss-fuzz,2587
mruby,49493,corpus/poc/49493,DoS,SEGV,0,arvo-oss-fuzz,6308
mruby,49550,corpus/poc/49550,DoS,SEGV,0,arvo-oss-fuzz,130
mruby,49763,corpus/poc/49763,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,33854
mruby,49845,corpus/poc/49845,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,7971
cyclonedds,51292,corpus/poc/51292,DoS,SEGV,0,arvo-oss-fuzz,8
graphicsmagick,52084,corpus/poc/52084,READ,heap-buffer-overflow,0,arvo-oss-fuzz,19
graphicsmagick,52133,corpus/poc/52133,READ,heap-buffer-overflow,0,arvo-oss-fuzz,23
libvips,52606,corpus/poc/52606,READ,heap-buffer-overflow,0,arvo-oss-fuzz,15792
mruby,53161,corpus/poc/53161,DoS,SEGV,0,arvo-oss-fuzz,69
libjpeg-turbo.dev,53499,corpus/poc/53499,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,67
graphicsmagick,54716,corpus/poc/54716,READ,heap-buffer-overflow,0,arvo-oss-fuzz,41
graphicsmagick,54810,corpus/poc/54810,READ,heap-buffer-overflow,0,arvo-oss-fuzz,33
libjpeg-turbo.dev,55413,corpus/poc/55413,READ,heap-buffer-overflow,0,arvo-oss-fuzz,113
mruby,56406,corpus/poc/56406,READ,heap-use-after-free,0,arvo-oss-fuzz,113932
mruby,56687,corpus/poc/56687,DoS,SEGV,0,arvo-oss-fuzz,4649
mruby,57037,corpus/poc/57037,DoS,SEGV,0,arvo-oss-fuzz,10
mruby,57051,corpus/poc/57051,DoS,SEGV,0,arvo-oss-fuzz,5285
mruby,57064,corpus/poc/57064,DoS,SEGV,0,arvo-oss-fuzz,27968
mruby,57108,corpus/poc/57108,READ,heap-use-after-free,0,arvo-oss-fuzz,13413
mruby,57135,corpus/poc/57135,DoS,SEGV,0,arvo-oss-fuzz,2549
mruby,57495,corpus/poc/57495,DoS,SEGV,0,arvo-oss-fuzz,1214
cyclonedds,57614,corpus/poc/57614,READ,heap-buffer-overflow,0,arvo-oss-fuzz,3404
mruby,57672,corpus/poc/57672,READ,heap-use-after-free,0,arvo-oss-fuzz,7802
mruby,57703,corpus/poc/57703,READ,heap-use-after-free,0,arvo-oss-fuzz,109461
dav1d,57927,corpus/poc/57927,READ,heap-use-after-free,0,arvo-oss-fuzz,238
libvips,58152,corpus/poc/58152,READ,heap-buffer-overflow,0,arvo-oss-fuzz,10997
njs,58249,corpus/poc/58249,DoS,SEGV,0,arvo-oss-fuzz,3167
mruby,58577,corpus/poc/58577,READ,heap-use-after-free,0,arvo-oss-fuzz,27479
graphicsmagick,58661,corpus/poc/58661,READ,heap-buffer-overflow,0,arvo-oss-fuzz,86
mruby,58723,corpus/poc/58723,READ,heap-use-after-free,0,arvo-oss-fuzz,14883
graphicsmagick,58754,corpus/poc/58754,WRITE,stack-buffer-overflow,0,arvo-oss-fuzz,322
graphicsmagick,58758,corpus/poc/58758,WRITE,stack-buffer-overflow,0,arvo-oss-fuzz,430
njs,59440,corpus/poc/59440,DoS,SEGV,0,arvo-oss-fuzz,21
mruby,59931,corpus/poc/59931,READ,heap-use-after-free,0,arvo-oss-fuzz,28064
njs,60249,corpus/poc/60249,DoS,SEGV,0,arvo-oss-fuzz,22
dav1d,60432,corpus/poc/60432,DoS,SEGV,0,arvo-oss-fuzz,80
cyclonedds,60514,corpus/poc/60514,READ,heap-buffer-overflow,0,arvo-oss-fuzz,4246
libvips,61492,corpus/poc/61492,READ,heap-buffer-overflow,0,arvo-oss-fuzz,1616
mruby,62500,corpus/poc/62500,READ,heap-buffer-overflow,0,arvo-oss-fuzz,37
mruby,62822,corpus/poc/62822,READ,heap-buffer-overflow,0,arvo-oss-fuzz,63
njs,63010,corpus/poc/63010,DoS,SEGV,0,arvo-oss-fuzz,24
njs,64167,corpus/poc/64167,READ,stack-buffer-overflow,0,arvo-oss-fuzz,86
wolfmqtt,64570,corpus/poc/64570,DoS,SEGV,0,arvo-oss-fuzz,146
graphicsmagick,64935,corpus/poc/64935,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,113388
graphicsmagick,64990,corpus/poc/64990,READ,global-buffer-overflow,0,arvo-oss-fuzz,146
mruby,65996,corpus/poc/65996,READ,heap-buffer-overflow,0,arvo-oss-fuzz,36
mruby,66208,corpus/poc/66208,READ,heap-buffer-overflow,0,arvo-oss-fuzz,40
mruby,66423,corpus/poc/66423,READ,heap-buffer-overflow,0,arvo-oss-fuzz,41
mruby,66426,corpus/poc/66426,READ,heap-buffer-overflow,0,arvo-oss-fuzz,53
mruby,66689,corpus/poc/66689,READ,heap-buffer-overflow,0,arvo-oss-fuzz,52
skcms,7189,corpus/poc/7189,DoS,SEGV,0,arvo-oss-fuzz,408
graphicsmagick,7639,corpus/poc/7639,DoS,SEGV,0,arvo-oss-fuzz,27
graphicsmagick,7935,corpus/poc/7935,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,1416
graphicsmagick,7951,corpus/poc/7951,READ,heap-buffer-overflow,0,arvo-oss-fuzz,1416
graphicsmagick,7966,corpus/poc/7966,DoS,SEGV,0,arvo-oss-fuzz,1416
graphicsmagick,8384,corpus/poc/8384,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,406
graphicsmagick,8600,corpus/poc/8600,READ,heap-buffer-overflow,0,arvo-oss-fuzz,65666
graphicsmagick,8615,corpus/poc/8615,READ,heap-buffer-overflow,0,arvo-oss-fuzz,25
graphicsmagick,8743,corpus/poc/8743,READ,heap-buffer-overflow,0,arvo-oss-fuzz,185
graphicsmagick,8763,corpus/poc/8763,READ,heap-buffer-overflow,0,arvo-oss-fuzz,153
graphicsmagick,8834,corpus/poc/8834,READ,heap-buffer-overflow,0,arvo-oss-fuzz,17
graphicsmagick,9357,corpus/poc/9357,READ,heap-buffer-overflow,0,arvo-oss-fuzz,35
