reproducing 279 ARVO bugs -> corpus
[ 117/279] wolfmqtt                 READ   id=39024    ok
[ 118/279] wolfmqtt                 WRITE  id=39028    ok
[ 119/279] wolfmqtt                 DoS    id=39036    ok
[ 120/279] wolfmqtt                 WRITE  id=39053    ok
[ 121/279] wolfmqtt                 WRITE  id=39056    ok
[ 122/279] wolfmqtt                 DoS    id=39062    ok
[ 123/279] wolfmqtt                 READ   id=39070    ok
[ 124/279] wolfmqtt                 WRITE  id=39083    ok
[ 125/279] wolfmqtt                 READ   id=39094    ok
[ 126/279] wolfmqtt                 WRITE  id=39102    ok
[ 127/279] wolfmqtt                 WRITE  id=39103    ok
[ 128/279] wolfmqtt                 READ   id=39224    ok
[ 129/279] wolfmqtt                 READ   id=39477    ok
[ 130/279] wolfmqtt                 READ   id=39631    ok
[ 131/279] wolfmqtt                 READ   id=39750    ok
[ 132/279] wolfmqtt                 READ   id=40069    ok
[ 133/279] wolfmqtt                 READ   id=40904    ok
[ 134/279] wolfmqtt                 READ   id=41439    ok
[ 135/279] wolfmqtt                 READ   id=43370    ok
[ 136/279] wolfmqtt                 DoS    id=44683    ok
[ 137/279] wolfmqtt                 READ   id=64570    ok
[ 138/279] mruby                    READ   id=18030    ok
[ 139/279] mruby                    READ   id=18756    ok
[ 140/279] mruby                    WRITE  id=19902    ok
[ 141/279] mruby                    WRITE  id=22507    ok
[ 142/279] mruby                    READ   id=26400    ok
[ 143/279] mruby                    READ   id=30886    ok
[ 144/279] mruby                    WRITE  id=34652    ok
[ 145/279] mruby                    READ   id=34691    ok
[ 146/279] mruby                    READ   id=35712    ok
[ 147/279] mruby                    READ   id=35718    ok
[ 148/279] mruby                    READ   id=35727    ok
[ 149/279] mruby                    READ   id=36464    ok
[ 150/279] mruby                    READ   id=36930    ok
[ 151/279] mruby                    WRITE  id=38251    ok
[ 152/279] mruby                    READ   id=38298    ok
[ 153/279] mruby                    DoS    id=38843    ok
[ 154/279] mruby                    READ   id=38989    ok
[ 155/279] mruby                    WRITE  id=39931    ok
[ 156/279] mruby                    WRITE  id=39937    ok
[ 157/279] mruby                    WRITE  id=39940    ok
[ 158/279] mruby                    WRITE  id=39947    ok
[ 159/279] mruby                    READ   id=47213    ok
[ 160/279] mruby                    WRITE  id=48866    ok
[ 161/279] mruby                    READ   id=48873    ok
[ 162/279] mruby                    READ   id=48877    ok
[ 163/279] mruby                    WRITE  id=48904    ok
[ 164/279] mruby                    READ   id=48915    ok
[ 165/279] mruby                    WRITE  id=49045    ok
[ 166/279] mruby                    READ   id=49255    ok
[ 167/279] mruby                    WRITE  id=49259    no image
[ 168/279] mruby                    DoS    id=49269    no image
[ 169/279] mruby                    READ   id=49282    no image
[ 170/279] mruby                    READ   id=49291    ok
[ 171/279] mruby                    READ   id=49425    ok
[ 172/279] mruby                    DoS    id=49427    ok
[ 173/279] mruby                    DoS    id=49429    ok
[ 174/279] mruby                    DoS    id=49453    ok
[ 175/279] mruby                    DoS    id=49470    ok
[ 176/279] mruby                    DoS    id=49493    ok
[ 177/279] mruby                    READ   id=49550    ok
[ 178/279] mruby                    WRITE  id=49763    ok
[ 179/279] mruby                    WRITE  id=49845    ok
[ 180/279] mruby                    READ   id=53161    ok
[ 181/279] mruby                    READ   id=56406    ok
[ 182/279] mruby                    READ   id=56687    ok
[ 183/279] mruby                    READ   id=56991    ok
[ 184/279] mruby                    DoS    id=57037    ok
[ 185/279] mruby                    READ   id=57051    ok
[ 186/279] mruby                    READ   id=57064    ok
[ 187/279] mruby                    READ   id=57108    ok
[ 188/279] mruby                    DoS    id=57135    ok
[ 189/279] mruby                    READ   id=57495    ok
[ 190/279] mruby                    READ   id=57672    ok
[ 191/279] mruby                    READ   id=57703    ok
[ 192/279] mruby                    READ   id=58577    ok
[ 193/279] mruby                    READ   id=58723    ok
[ 194/279] mruby                    READ   id=59931    ok
[ 195/279] mruby                    READ   id=62500    ok
[ 196/279] mruby                    READ   id=62822    ok
[ 197/279] mruby                    READ   id=65996    ok
[ 198/279] mruby                    READ   id=66208    ok
[ 199/279] mruby                    READ   id=66209    ok
[ 200/279] mruby                    READ   id=66423    ok
[ 201/279] mruby                    READ   id=66426    ok
[ 202/279] mruby                    READ   id=66689    ok
[ 203/279] uWebSockets              WRITE  id=19757    ok
[ 204/279] uWebSockets              READ   id=19957    ok
[ 205/279] uWebSockets              READ   id=19966    ok
[ 206/279] uWebSockets              DoS    id=25376    ok
[ 207/279] uWebSockets              WRITE  id=25381    ok
[ 208/279] uWebSockets              READ   id=28143    ok
[ 209/279] uWebSockets              READ   id=28144    ok
[ 210/279] uWebSockets              READ   id=28162    ok
[ 211/279] uWebSockets              READ   id=28216    ok
[ 212/279] uWebSockets              READ   id=30949    ok
[ 213/279] uWebSockets              DoS    id=30951    ok
[ 214/279] uWebSockets              READ   id=31047    ok
[ 215/279] uWebSockets              READ   id=31126    ok
[ 216/279] uWebSockets              WRITE  id=31209    ok
[ 217/279] uWebSockets              READ   id=39335    ok
[ 218/279] njs                      WRITE  id=20646    ok
[ 219/279] njs                      READ   id=20905    ok
[ 220/279] njs                      READ   id=23561    ok
[ 221/279] njs                      DoS    id=23594    ok
[ 222/279] njs                      READ   id=35140    ok
[ 223/279] njs                      READ   id=37691    ok
[ 224/279] njs                      DoS    id=58249    ok
[ 225/279] njs                      DoS    id=59440    ok
[ 226/279] njs                      DoS    id=60249    ok
[ 227/279] njs                      DoS    id=63010    ok
[ 228/279] njs                      READ   id=64167    ok
[ 229/279] libvips                  READ   id=16313    ok
[ 230/279] libvips                  READ   id=16565    ok
[ 231/279] libvips                  READ   id=16566    ok
[ 232/279] libvips                  READ   id=16707    ok
[ 233/279] libvips                  READ   id=16768    ok
[ 234/279] libvips                  DoS    id=16794    ok
[ 235/279] libvips                  READ   id=16796    ok
[ 236/279] libvips                  DoS    id=16838    ok
[ 237/279] libvips                  READ   id=17583    ok
[ 238/279] libvips                  WRITE  id=20613    ok
[ 239/279] libvips                  READ   id=20843    ok
[ 240/279] libvips                  DoS    id=24290    ok
[ 241/279] libvips                  READ   id=26524    ok
[ 242/279] libvips                  READ   id=26855    ok
[ 243/279] libvips                  READ   id=32638    ok
[ 244/279] libvips                  WRITE  id=32855    ok
[ 245/279] libvips                  READ   id=34284    ok
[ 246/279] libvips                  WRITE  id=34518    ok
[ 247/279] libvips                  WRITE  id=34813    ok
[ 248/279] libvips                  READ   id=35321    ok
[ 249/279] libvips                  READ   id=35359    ok
[ 250/279] libvips                  READ   id=36434    ok
[ 251/279] libvips                  WRITE  id=36456    ok
[ 252/279] libvips                  READ   id=36543    ok
[ 253/279] libvips                  READ   id=37812    ok
[ 254/279] libvips                  READ   id=37842    ok
[ 255/279] libvips                  READ   id=40715    ok
[ 256/279] libvips                  READ   id=41225    ok
[ 257/279] libvips                  READ   id=41283    ok
[ 258/279] libvips                  READ   id=45353    ok
[ 259/279] libvips                  READ   id=46304    ok
[ 260/279] libvips                  READ   id=46334    ok
[ 261/279] libvips                  WRITE  id=46335    ok
[ 262/279] libvips                  WRITE  id=46338    ok
[ 263/279] libvips                  READ   id=46341    ok
[ 264/279] libvips                  WRITE  id=46343    ok
[ 265/279] libvips                  READ   id=46349    ok
[ 266/279] libvips                  READ   id=46354    ok
[ 267/279] libvips                  READ   id=46356    ok
[ 268/279] libvips                  READ   id=46395    ok
[ 269/279] libvips                  READ   id=46396    ok
[ 270/279] libvips                  WRITE  id=46421    ok
[ 271/279] libvips                  READ   id=46436    ok
[ 272/279] libvips                  DoS    id=46963    ok
[ 273/279] libvips                  READ   id=48021    ok
[ 274/279] libvips                  DoS    id=48036    ok
[ 275/279] libvips                  DoS    id=48132    ok
[ 276/279] libvips                  READ   id=52606    ok
[ 277/279] libvips                  READ   id=58152    ok
[ 278/279] libvips                  READ   id=61492    ok
[ 279/279] libvips                  READ   id=62478    ok

reproduced with PoC: 274   failed: 5
next: python3 03-label.py corpus -o labels_arvo.csv
