target,filename,path,cls,provenance,patched_still_faults
frozen,read-0037,gen/frozen_read_matched/read-0037,READ,constructed,0
frozen,read-0038,gen/frozen_read_matched/read-0038,READ,constructed,0
frozen,read-0039,gen/frozen_read_matched/read-0039,READ,constructed,0
frozen,read-0040,gen/frozen_read_matched/read-0040,READ,constructed,0
frozen,read-0041,gen/frozen_read_matched/read-0041,READ,constructed,0
frozen,read-0042,gen/frozen_read_matched/read-0042,READ,constructed,0
frozen,read-0043,gen/frozen_read_matched/read-0043,READ,constructed,0
frozen,read-0044,gen/frozen_read_matched/read-0044,READ,constructed,0
frozen,read-0045,gen/frozen_read_matched/read-0045,READ,constructed,0
frozen,read-0046,gen/frozen_read_matched/read-0046,READ,constructed,0
frozen,read-0047,gen/frozen_read_matched/read-0047,READ,constructed,0
frozen,read-0048,gen/frozen_read_matched/read-0048,READ,constructed,0
frozen,read-0049,gen/frozen_read_matched/read-0049,READ,constructed,0
frozen,read-0050,gen/frozen_read_matched/read-0050,READ,constructed,0
frozen,read-0051,gen/frozen_read_matched/read-0051,READ,constructed,0
frozen,read-0052,gen/frozen_read_matched/read-0052,READ,constructed,0
frozen,read-0053,gen/frozen_read_matched/read-0053,READ,constructed,0
frozen,read-0054,gen/frozen_read_matched/read-0054,READ,constructed,0
frozen,read-0055,gen/frozen_read_matched/read-0055,READ,constructed,0
frozen,read-0056,gen/frozen_read_matched/read-0056,READ,constructed,0
frozen,read-0057,gen/frozen_read_matched/read-0057,READ,constructed,0
frozen,read-0058,gen/frozen_read_matched/read-0058,READ,constructed,0
frozen,read-0059,gen/frozen_read_matched/read-0059,READ,constructed,0
frozen,read-0060,gen/frozen_read_matched/read-0060,READ,constructed,0
frozen,read-0061,gen/frozen_read_matched/read-0061,READ,constructed,0
frozen,read-0062,gen/frozen_read_matched/read-0062,READ,constructed,0
frozen,read-0063,gen/frozen_read_matched/read-0063,READ,constructed,0
frozen,read-0064,gen/frozen_read_matched/read-0064,READ,constructed,0
frozen,read-0065,gen/frozen_read_matched/read-0065,READ,constructed,0
frozen,read-0066,gen/frozen_read_matched/read-0066,READ,constructed,0
frozen,read-0067,gen/frozen_read_matched/read-0067,READ,constructed,0
frozen,read-0068,gen/frozen_read_matched/read-0068,READ,constructed,0
frozen,read-0069,gen/frozen_read_matched/read-0069,READ,constructed,0
frozen,read-0070,gen/frozen_read_matched/read-0070,READ,constructed,0
frozen,read-0071,gen/frozen_read_matched/read-0071,READ,constructed,0
frozen,read-0072,gen/frozen_read_matched/read-0072,READ,constructed,0
frozen,read-0073,gen/frozen_read_matched/read-0073,READ,constructed,0
frozen,read-0074,gen/frozen_read_matched/read-0074,READ,constructed,0
frozen,read-0075,gen/frozen_read_matched/read-0075,READ,constructed,0
frozen,read-0076,gen/frozen_read_matched/read-0076,READ,constructed,0
frozen,read-0077,gen/frozen_read_matched/read-0077,READ,constructed,0
frozen,read-0078,gen/frozen_read_matched/read-0078,READ,constructed,0
frozen,read-0079,gen/frozen_read_matched/read-0079,READ,constructed,0
frozen,read-0080,gen/frozen_read_matched/read-0080,READ,constructed,0
frozen,read-0081,gen/frozen_read_matched/read-0081,READ,constructed,0
frozen,read-0082,gen/frozen_read_matched/read-0082,READ,constructed,0
frozen,read-0083,gen/frozen_read_matched/read-0083,READ,constructed,0
frozen,read-0084,gen/frozen_read_matched/read-0084,READ,constructed,0
frozen,read-0085,gen/frozen_read_matched/read-0085,READ,constructed,0
frozen,read-0086,gen/frozen_read_matched/read-0086,READ,constructed,0
frozen,read-0087,gen/frozen_read_matched/read-0087,READ,constructed,0
frozen,read-0088,gen/frozen_read_matched/read-0088,READ,constructed,0
frozen,read-0089,gen/frozen_read_matched/read-0089,READ,constructed,0
frozen,read-0090,gen/frozen_read_matched/read-0090,READ,constructed,0
frozen,read-0091,gen/frozen_read_matched/read-0091,READ,constructed,0
frozen,read-0092,gen/frozen_read_matched/read-0092,READ,constructed,0
frozen,read-0093,gen/frozen_read_matched/read-0093,READ,constructed,0
frozen,read-0094,gen/frozen_read_matched/read-0094,READ,constructed,0
frozen,read-0095,gen/frozen_read_matched/read-0095,READ,constructed,0
frozen,read-0096,gen/frozen_read_matched/read-0096,READ,constructed,0
frozen,read-0097,gen/frozen_read_matched/read-0097,READ,constructed,0
frozen,read-0098,gen/frozen_read_matched/read-0098,READ,constructed,0
frozen,read-0099,gen/frozen_read_matched/read-0099,READ,constructed,0
frozen,read-0100,gen/frozen_read_matched/read-0100,READ,constructed,0
frozen,read-0101,gen/frozen_read_matched/read-0101,READ,constructed,0
frozen,read-0102,gen/frozen_read_matched/read-0102,READ,constructed,0
frozen,read-0103,gen/frozen_read_matched/read-0103,READ,constructed,0
frozen,read-0104,gen/frozen_read_matched/read-0104,READ,constructed,0
frozen,read-0105,gen/frozen_read_matched/read-0105,READ,constructed,0
frozen,read-0106,gen/frozen_read_matched/read-0106,READ,constructed,0
frozen,read-0107,gen/frozen_read_matched/read-0107,READ,constructed,0
frozen,read-0108,gen/frozen_read_matched/read-0108,READ,constructed,0
frozen,read-0109,gen/frozen_read_matched/read-0109,READ,constructed,0
frozen,read-0110,gen/frozen_read_matched/read-0110,READ,constructed,0
frozen,read-0111,gen/frozen_read_matched/read-0111,READ,constructed,0
frozen,read-0112,gen/frozen_read_matched/read-0112,READ,constructed,0
frozen,read-0113,gen/frozen_read_matched/read-0113,READ,constructed,0
frozen,read-0114,gen/frozen_read_matched/read-0114,READ,constructed,0
frozen,read-0115,gen/frozen_read_matched/read-0115,READ,constructed,0
frozen,read-0116,gen/frozen_read_matched/read-0116,READ,constructed,0
frozen,read-0117,gen/frozen_read_matched/read-0117,READ,constructed,0
frozen,read-0118,gen/frozen_read_matched/read-0118,READ,constructed,0
frozen,read-0119,gen/frozen_read_matched/read-0119,READ,constructed,0
frozen,read-0120,gen/frozen_read_matched/read-0120,READ,constructed,0
frozen,read-0121,gen/frozen_read_matched/read-0121,READ,constructed,0
frozen,read-0122,gen/frozen_read_matched/read-0122,READ,constructed,0
frozen,read-0123,gen/frozen_read_matched/read-0123,READ,constructed,0
frozen,read-0124,gen/frozen_read_matched/read-0124,READ,constructed,0
frozen,read-0125,gen/frozen_read_matched/read-0125,READ,constructed,0
frozen,read-0126,gen/frozen_read_matched/read-0126,READ,constructed,0
frozen,read-0127,gen/frozen_read_matched/read-0127,READ,constructed,0
frozen,read-0128,gen/frozen_read_matched/read-0128,READ,constructed,0
frozen,read-0129,gen/frozen_read_matched/read-0129,READ,constructed,0
frozen,read-0130,gen/frozen_read_matched/read-0130,READ,constructed,0
frozen,read-0131,gen/frozen_read_matched/read-0131,READ,constructed,0
frozen,read-0132,gen/frozen_read_matched/read-0132,READ,constructed,0
frozen,read-0133,gen/frozen_read_matched/read-0133,READ,constructed,0
frozen,read-0134,gen/frozen_read_matched/read-0134,READ,constructed,0
frozen,read-0135,gen/frozen_read_matched/read-0135,READ,constructed,0
frozen,read-0136,gen/frozen_read_matched/read-0136,READ,constructed,0
frozen,read-0137,gen/frozen_read_matched/read-0137,READ,constructed,0
frozen,read-0138,gen/frozen_read_matched/read-0138,READ,constructed,0
frozen,read-0139,gen/frozen_read_matched/read-0139,READ,constructed,0
frozen,read-0140,gen/frozen_read_matched/read-0140,READ,constructed,0
frozen,read-0141,gen/frozen_read_matched/read-0141,READ,constructed,0
frozen,read-0142,gen/frozen_read_matched/read-0142,READ,constructed,0
frozen,read-0143,gen/frozen_read_matched/read-0143,READ,constructed,0
frozen,read-0144,gen/frozen_read_matched/read-0144,READ,constructed,0
frozen,read-0145,gen/frozen_read_matched/read-0145,READ,constructed,0
frozen,read-0146,gen/frozen_read_matched/read-0146,READ,constructed,0
frozen,read-0147,gen/frozen_read_matched/read-0147,READ,constructed,0
frozen,read-0148,gen/frozen_read_matched/read-0148,READ,constructed,0
frozen,read-0149,gen/frozen_read_matched/read-0149,READ,constructed,0
frozen,dos-0000,gen/dos/dos-0000,DoS,constructed,0
frozen,dos-0001,gen/dos/dos-0001,DoS,constructed,0
frozen,dos-0002,gen/dos/dos-0002,DoS,constructed,0
frozen,dos-0003,gen/dos/dos-0003,DoS,constructed,0
frozen,dos-0004,gen/dos/dos-0004,DoS,constructed,0
frozen,dos-0005,gen/dos/dos-0005,DoS,constructed,0
frozen,dos-0006,gen/dos/dos-0006,DoS,constructed,0
frozen,dos-0007,gen/dos/dos-0007,DoS,constructed,0
frozen,dos-0008,gen/dos/dos-0008,DoS,constructed,0
frozen,dos-0009,gen/dos/dos-0009,DoS,constructed,0
frozen,dos-0010,gen/dos/dos-0010,DoS,constructed,0
frozen,dos-0011,gen/dos/dos-0011,DoS,constructed,0
frozen,dos-0012,gen/dos/dos-0012,DoS,constructed,0
frozen,dos-0013,gen/dos/dos-0013,DoS,constructed,0
frozen,dos-0014,gen/dos/dos-0014,DoS,constructed,0
frozen,dos-0015,gen/dos/dos-0015,DoS,constructed,0
frozen,dos-0016,gen/dos/dos-0016,DoS,constructed,0
frozen,dos-0017,gen/dos/dos-0017,DoS,constructed,0
frozen,dos-0018,gen/dos/dos-0018,DoS,constructed,0
frozen,dos-0019,gen/dos/dos-0019,DoS,constructed,0
frozen,dos-0020,gen/dos/dos-0020,DoS,constructed,0
frozen,dos-0021,gen/dos/dos-0021,DoS,constructed,0
frozen,dos-0022,gen/dos/dos-0022,DoS,constructed,0
frozen,dos-0023,gen/dos/dos-0023,DoS,constructed,0
frozen,dos-0024,gen/dos/dos-0024,DoS,constructed,0
frozen,dos-0025,gen/dos/dos-0025,DoS,constructed,0
frozen,dos-0026,gen/dos/dos-0026,DoS,constructed,0
frozen,dos-0027,gen/dos/dos-0027,DoS,constructed,0
frozen,dos-0028,gen/dos/dos-0028,DoS,constructed,0
frozen,dos-0029,gen/dos/dos-0029,DoS,constructed,0
frozen,dos-0030,gen/dos/dos-0030,DoS,constructed,0
frozen,dos-0031,gen/dos/dos-0031,DoS,constructed,0
frozen,dos-0032,gen/dos/dos-0032,DoS,constructed,0
frozen,dos-0033,gen/dos/dos-0033,DoS,constructed,0
frozen,dos-0034,gen/dos/dos-0034,DoS,constructed,0
frozen,dos-0035,gen/dos/dos-0035,DoS,constructed,0
frozen,dos-0036,gen/dos/dos-0036,DoS,constructed,0
frozen,dos-0037,gen/dos/dos-0037,DoS,constructed,0
frozen,dos-0038,gen/dos/dos-0038,DoS,constructed,0
frozen,dos-0039,gen/dos/dos-0039,DoS,constructed,0
frozen,dos-0040,gen/dos/dos-0040,DoS,constructed,0
frozen,dos-0041,gen/dos/dos-0041,DoS,constructed,0
frozen,dos-0042,gen/dos/dos-0042,DoS,constructed,0
frozen,dos-0043,gen/dos/dos-0043,DoS,constructed,0
frozen,dos-0044,gen/dos/dos-0044,DoS,constructed,0
frozen,dos-0045,gen/dos/dos-0045,DoS,constructed,0
frozen,dos-0046,gen/dos/dos-0046,DoS,constructed,0
frozen,dos-0047,gen/dos/dos-0047,DoS,constructed,0
frozen,dos-0048,gen/dos/dos-0048,DoS,constructed,0
frozen,dos-0049,gen/dos/dos-0049,DoS,constructed,0
frozen,dos-0050,gen/dos/dos-0050,DoS,constructed,0
frozen,dos-0051,gen/dos/dos-0051,DoS,constructed,0
frozen,dos-0052,gen/dos/dos-0052,DoS,constructed,0
frozen,dos-0053,gen/dos/dos-0053,DoS,constructed,0
frozen,dos-0054,gen/dos/dos-0054,DoS,constructed,0
frozen,dos-0055,gen/dos/dos-0055,DoS,constructed,0
frozen,dos-0056,gen/dos/dos-0056,DoS,constructed,0
frozen,dos-0057,gen/dos/dos-0057,DoS,constructed,0
frozen,dos-0058,gen/dos/dos-0058,DoS,constructed,0
frozen,dos-0059,gen/dos/dos-0059,DoS,constructed,0
frozen,dos-0060,gen/dos/dos-0060,DoS,constructed,0
frozen,dos-0061,gen/dos/dos-0061,DoS,constructed,0
frozen,dos-0062,gen/dos/dos-0062,DoS,constructed,0
frozen,dos-0063,gen/dos/dos-0063,DoS,constructed,0
frozen,dos-0064,gen/dos/dos-0064,DoS,constructed,0
frozen,dos-0065,gen/dos/dos-0065,DoS,constructed,0
frozen,dos-0066,gen/dos/dos-0066,DoS,constructed,0
frozen,dos-0067,gen/dos/dos-0067,DoS,constructed,0
frozen,dos-0068,gen/dos/dos-0068,DoS,constructed,0
frozen,dos-0069,gen/dos/dos-0069,DoS,constructed,0
frozen,dos-0070,gen/dos/dos-0070,DoS,constructed,0
frozen,dos-0071,gen/dos/dos-0071,DoS,constructed,0
frozen,dos-0072,gen/dos/dos-0072,DoS,constructed,0
frozen,dos-0073,gen/dos/dos-0073,DoS,constructed,0
frozen,dos-0074,gen/dos/dos-0074,DoS,constructed,0
frozen,dos-0075,gen/dos/dos-0075,DoS,constructed,0
frozen,dos-0076,gen/dos/dos-0076,DoS,constructed,0
frozen,dos-0077,gen/dos/dos-0077,DoS,constructed,0
frozen,dos-0078,gen/dos/dos-0078,DoS,constructed,0
frozen,dos-0079,gen/dos/dos-0079,DoS,constructed,0
frozen,dos-0080,gen/dos/dos-0080,DoS,constructed,0
frozen,dos-0081,gen/dos/dos-0081,DoS,constructed,0
frozen,dos-0082,gen/dos/dos-0082,DoS,constructed,0
frozen,dos-0083,gen/dos/dos-0083,DoS,constructed,0
frozen,dos-0084,gen/dos/dos-0084,DoS,constructed,0
frozen,dos-0085,gen/dos/dos-0085,DoS,constructed,0
frozen,dos-0086,gen/dos/dos-0086,DoS,constructed,0
frozen,dos-0087,gen/dos/dos-0087,DoS,constructed,0
frozen,dos-0088,gen/dos/dos-0088,DoS,constructed,0
frozen,dos-0089,gen/dos/dos-0089,DoS,constructed,0
frozen,dos-0090,gen/dos/dos-0090,DoS,constructed,0
frozen,dos-0091,gen/dos/dos-0091,DoS,constructed,0
frozen,dos-0092,gen/dos/dos-0092,DoS,constructed,0
frozen,dos-0093,gen/dos/dos-0093,DoS,constructed,0
frozen,dos-0094,gen/dos/dos-0094,DoS,constructed,0
frozen,dos-0095,gen/dos/dos-0095,DoS,constructed,0
frozen,dos-0096,gen/dos/dos-0096,DoS,constructed,0
frozen,dos-0097,gen/dos/dos-0097,DoS,constructed,0
frozen,dos-0098,gen/dos/dos-0098,DoS,constructed,0
frozen,dos-0099,gen/dos/dos-0099,DoS,constructed,0
frozen,dos-0100,gen/dos/dos-0100,DoS,constructed,0
frozen,dos-0101,gen/dos/dos-0101,DoS,constructed,0
frozen,dos-0102,gen/dos/dos-0102,DoS,constructed,0
frozen,dos-0103,gen/dos/dos-0103,DoS,constructed,0
frozen,dos-0104,gen/dos/dos-0104,DoS,constructed,0
frozen,dos-0105,gen/dos/dos-0105,DoS,constructed,0
frozen,dos-0106,gen/dos/dos-0106,DoS,constructed,0
frozen,dos-0107,gen/dos/dos-0107,DoS,constructed,0
frozen,dos-0108,gen/dos/dos-0108,DoS,constructed,0
frozen,dos-0109,gen/dos/dos-0109,DoS,constructed,0
frozen,dos-0110,gen/dos/dos-0110,DoS,constructed,0
frozen,dos-0111,gen/dos/dos-0111,DoS,constructed,0
frozen,dos-0112,gen/dos/dos-0112,DoS,constructed,0
frozen,dos-0113,gen/dos/dos-0113,DoS,constructed,0
frozen,dos-0114,gen/dos/dos-0114,DoS,constructed,0
frozen,dos-0115,gen/dos/dos-0115,DoS,constructed,0
frozen,dos-0116,gen/dos/dos-0116,DoS,constructed,0
frozen,dos-0117,gen/dos/dos-0117,DoS,constructed,0
frozen,dos-0118,gen/dos/dos-0118,DoS,constructed,0
frozen,dos-0119,gen/dos/dos-0119,DoS,constructed,0
frozen,dos-0120,gen/dos/dos-0120,DoS,constructed,0
frozen,dos-0121,gen/dos/dos-0121,DoS,constructed,0
frozen,dos-0122,gen/dos/dos-0122,DoS,constructed,0
frozen,dos-0123,gen/dos/dos-0123,DoS,constructed,0
frozen,dos-0124,gen/dos/dos-0124,DoS,constructed,0
frozen,dos-0125,gen/dos/dos-0125,DoS,constructed,0
frozen,dos-0126,gen/dos/dos-0126,DoS,constructed,0
frozen,dos-0127,gen/dos/dos-0127,DoS,constructed,0
frozen,dos-0128,gen/dos/dos-0128,DoS,constructed,0
frozen,dos-0129,gen/dos/dos-0129,DoS,constructed,0
frozen,dos-0130,gen/dos/dos-0130,DoS,constructed,0
frozen,dos-0131,gen/dos/dos-0131,DoS,constructed,0
frozen,dos-0132,gen/dos/dos-0132,DoS,constructed,0
frozen,dos-0133,gen/dos/dos-0133,DoS,constructed,0
frozen,dos-0134,gen/dos/dos-0134,DoS,constructed,0
frozen,dos-0135,gen/dos/dos-0135,DoS,constructed,0
frozen,dos-0136,gen/dos/dos-0136,DoS,constructed,0
frozen,dos-0137,gen/dos/dos-0137,DoS,constructed,0
frozen,dos-0138,gen/dos/dos-0138,DoS,constructed,0
frozen,dos-0139,gen/dos/dos-0139,DoS,constructed,0
frozen,dos-0140,gen/dos/dos-0140,DoS,constructed,0
frozen,dos-0141,gen/dos/dos-0141,DoS,constructed,0
frozen,dos-0142,gen/dos/dos-0142,DoS,constructed,0
frozen,dos-0143,gen/dos/dos-0143,DoS,constructed,0
frozen,dos-0144,gen/dos/dos-0144,DoS,constructed,0
frozen,dos-0145,gen/dos/dos-0145,DoS,constructed,0
frozen,dos-0146,gen/dos/dos-0146,DoS,constructed,0
frozen,dos-0147,gen/dos/dos-0147,DoS,constructed,0
frozen,dos-0148,gen/dos/dos-0148,DoS,constructed,0
frozen,dos-0149,gen/dos/dos-0149,DoS,constructed,0
